Rank,Title,Year,IMDb Rating,URL
93,The Conjuring: Last Rites,,6.2,https://www.imdb.com/title/tt22898462/?ref_=ls_i_93
94,Freaky Tales,,6.3,https://www.imdb.com/title/tt21942598/?ref_=ls_i_94
95,The Electric State,,5.9,https://www.imdb.com/title/tt7766378/?ref_=ls_i_95
96,Lilo & Stitch,,6.7,https://www.imdb.com/title/tt11655566/?ref_=ls_i_96
97,Steve,,6.4,https://www.imdb.com/title/tt32985279/?ref_=ls_i_97
98,Lurker,,6.8,https://www.imdb.com/title/tt13651462/?ref_=ls_i_98
99,Den of Thieves: Pantera,,6.3,https://www.imdb.com/title/tt8008948/?ref_=ls_i_99
100,The Lost Bus,,6.8,https://www.imdb.com/title/tt21103218/?ref_=ls_i_100
101,Swiped,,6.4,https://www.imdb.com/title/tt31909270/?ref_=ls_i_101
102,Straw,,6.5,https://www.imdb.com/title/tt32550101/?ref_=ls_i_102
103,Playdate,,5.5,https://www.imdb.com/title/tt31425731/?ref_=ls_i_103
104,Dead of Winter,,6.1,https://www.imdb.com/title/tt7574556/?ref_=ls_i_104
105,Code 3,,7.2,https://www.imdb.com/title/tt26394837/?ref_=ls_i_105
106,Is This Thing On?,,7.1,https://www.imdb.com/title/tt28083456/?ref_=ls_i_106
107,The Woman in Cabin 10,,5.8,https://www.imdb.com/title/tt7130300/?ref_=ls_i_107
108,A Widow's Game,,6.2,https://www.imdb.com/title/tt33474172/?ref_=ls_i_108
109,Death of a Unicorn,,5.8,https://www.imdb.com/title/tt28443655/?ref_=ls_i_109
110,Fear Street: Prom Queen,,5.1,https://www.imdb.com/title/tt31433402/?ref_=ls_i_110
111,Americana,,5.9,https://www.imdb.com/title/tt17676734/?ref_=ls_i_111
112,The Unholy Trinity,,5.5,https://www.imdb.com/title/tt6300910/?ref_=ls_i_112
113,G20,,5.1,https://www.imdb.com/title/tt23476986/?ref_=ls_i_113
114,Snow White,,2.2,https://www.imdb.com/title/tt6208148/?ref_=ls_i_114
115,Fight or Flight,,6.4,https://www.imdb.com/title/tt13652286/?ref_=ls_i_115
116,Marty Supreme,,8.2,https://www.imdb.com/title/tt32916440/?ref_=ls_i_116
117,The Ugly Stepsister,,7.0,https://www.imdb.com/title/tt29344903/?ref_=ls_i_117
118,Elio,,6.7,https://www.imdb.com/title/tt4900148/?ref_=ls_i_118
